Завод,Год отгрузки,Месяц,Дата фактической отгрузки,Цех,Стан,МЗК,Получатель МЗК,ОХ,Обозначение ВнешГрМт,Краткое наименование материала,Полное наименование материала,НТД трубы,НД на покрытие,НД на внутреннее покрытие,"Диаметр наружный, мм","Размер 1, мм","Размер 2, мм","Стенка, мм","Длина трубы, мм",Марка стали,Группа прочности,Тип Резьбы,Высадка,Признак термообрабоки,Вид труб-М1,Вид труб-М2,Вид труб-М3 Вид бизнеса,Вид труб-М4-Спец,"Вес, тн.",Валюта Документа,Валютный курс с/ф ТД,"Стоимость ТД без НДС, руб.","Цена ТД без НДС, руб./тн.",Инкотермс,"Инкотермс, Место",Код ТН ВЭД,Номер ГТД,Дата ГТД,Отдел Сбыта,ПФМ Код,ПФМ Текст,Куратор,Спецификация ТД-клиент,Внутр.номер Получателя,ОКПО получателя,ИНН получателя,Получатель,Адрес Получателя,Город Получателя,Регион Получателя,Страна Получателя,Станция назначения,Тип отгрузки,Внутр.номер Плательщика,ОКПО плательщика,ИНН плательщика,Плательщик,Город Плательщика,Страна Плательщика,ОКПО основного потребителя,Основной Потребитель,Регион ПОСТАВКИ РФ,Фед.округ РФ/ Регион мира,Страна назначения,Направление отгрузки,Отрасль Основного Потребителя,Подотрасль Основного Потребителя,Подотрасль потребителя 2 /продукт,Холдинги,Металлотрейдер,№ строки,Получатель рабочее наименование,Плательщик рабочее наименование,ЗРУ из КД,ИГК из КС,"Количество, м","Количество, шт.",Вид трубы Бизнес (M1),Сегмент Бизнес (M3)
ВТЗ,2024,Декабрь,2024-12-02 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 30Х 83 19,"Трубы горячедеформированные общего назначения ГОСТ 8732-78/8731-74, D83 ,00 S19,00, МСт 30Х, ТС 2-2022, ГрПст Б, длина по ТС, Концовка: Прямой рез Обрезка резцом",ГОСТ 8732-78/8731-74,,,83,,,19,,30Х,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,20,RUB,"1,00000",2718820,135941,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11011574,88605449,5256083213,"Общество с ограниченной ответственностью ""Нижегородские Автокомпоненты""","603004, г. Нижний Новгород, ул. Монастырка 7, оф. 54",г. Нижний Новгород,Нижегородская обл.,Россия,,Самовывоз,11011574,88605449,5256083213,"Общество с ограниченной ответственностью ""Нижегородские Автокомпоненты""",город Москва,Россия,88605449,Автокомпоненты - Группа ГАЗ,Нижегородская область,Приволжский ФО,Россия,РФ,Машиностроение,Автомобильное,Автокомпоненты,-,-,В31786,Автокомпоненты - Группа ГАЗ,Автокомпоненты - Группа ГАЗ,,,661.39,105,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-02 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 108 22,"Трубы горячедеформированные общего назначения D108,00 X S22,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, М/Д: 6000 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,108,,,22,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,5.23,RUB,"1,00000",653750,125000,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31787,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,115.9,19,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-02 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 121 14,"Трубы горячедеформированные общего назначения D121,00 X S14,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, М/Д: 6000 Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,121,,,14,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,5.425,RUB,"1,00000",678125,125000,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31788,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,152,25,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-02 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 09Г2С 146 32,"Трубы горячедеформированные общего назначения D146,00 X S32,00 ГОСТ 8732-78/8731-74, МСт 09Г2С, ГрПст В, М/Д: 6000 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,146,,,32,,09Г2С,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,9.195,RUB,"1,00000",1241325,135000,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31789,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,103.52,17,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-02 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 45 203 50,"Трубы горячедеформированные общего назначения D203,00 X S50,00 ГОСТ 8732-78/8731-74, МСт 45, ГрПст В, Н/К: 6200 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,203,,,50,,45,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,60.745,RUB,"1,00000",7643871.98045,125835.41,CPT,СТ. ЕРБИНСКАЯ,,,,,ТД ТМК ПП,ПРУ,ИВАНОВ А.В.,,11017297,49214600,1910006486,"Общество с ограниченной ответственностью ""Сорский горно-обогатительный комбинат""","РФ, 655111, Республика Хакасия, г. Сорск, Промплощадка",город Сорск,Хакасия  Респ.,Россия,ЕРБИНСКАЯ,Ж/д транспорт,4100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,49214600,Сорский ГОК,Республика Хакасия,Сибирский ФО,Россия,РФ,Прочие отрасли,Горно-металлургические компании,Горнодобывающая ,-,ТД ТМК,В31790,Сорский ГОК,ТД ТМК,,,324.83,50,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 140 18,"Трубы горячедеформированные общего назначения D140,00 X S18,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, М/Д: 6000 Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,140,,,18,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,4.24,RUB,"1,00000",530000,125000,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31791,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,79.15,13,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 35 108 22,"Трубы горячедеформированные общего назначения D108,00 X S22,00 ГОСТ 8732-78/8731-74, МСт 35, ГрПст В, М/Д: 6000 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,108,,,22,,35,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,0.265,RUB,"1,00000",33125,125000,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31792,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,6.1,1,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 09Г2С 146 32,"Трубы горячедеформированные общего назначения D146,00 X S32,00 ГОСТ 8732-78/8731-74, МСт 09Г2С, ГрПст В, М/Д: 6000 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,146,,,32,,09Г2С,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,1.045,RUB,"1,00000",141075,135000,FCA,"АО ""ВТЗ""",,,,,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31793,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,11.73,2,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 09Г2С 146 32,"Трубы горячедеформированные общего назначения D146,00 X S32,00 ГОСТ 8732-78/8731-74, МСт 09Г2С, ГрПст В, М/Д: 6000 Обрезка плазмой",ГОСТ 8732-78/8731-74,,,146,,,32,,09Г2С,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,13.535,RUB,"1,00000",1827225,135000,FCA,"АО ""ВТЗ""",,,,ДПВР,БН ПП,ОП_ПАП,СЕСИНА Н.П.,,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""","182112, Псковская область, г. Великие Луки, ул. Корниенко, д. 6",г. Великие Луки,Псковская обл.,Россия,,Самовывоз,11012263,49042961,6025018018,"Общество с ограниченной ответственностью ""ВЕЛМАШ-Сервис""",город Москва,Россия,49042961,ВЕЛМАШ-Сервис,Псковская область,Северо-Западный ФО,Россия,РФ,Машиностроение,Подъемно-транспортное (крановое),-,-,-,В31794,ВЕЛМАШ-Сервис,ВЕЛМАШ-Сервис,,,152.25,25,Гд Общ,Бш Пром/Seamless Ind
ВТЗ,2024,Декабрь,2024-12-03 00:00:00,ТПЦ-1,,-,-,,ТрБесШвнГрДфрОбщНзнч,ТгдОН ГОСТ8731 09Г2С 89 18,"Трубы горячедеформированные общего назначения D89,00 X S18,00 ГОСТ 8732-78/8731-74, МСт 09Г2С, ГрПст В, Н/Д Обрезка резцом, ТипКонцов: Прямой рез",ГОСТ 8732-78/8731-74,,,89,,,18,,09Г2С,,,,без т/о,Гд Общ,Бесшовные Гд,Бш Пром,-,10.93,RUB,"1,00000",1447769.6562,132458.34,CPT,С. СУПОНЕВО,,,,,ТД ТМК ПП,ПРУ,ИГУМЕНОВ А.С.,,11029889,52710981,7722485452,"Общество с ограниченной ответственностью ""ТЕХПРОМСТРОЙ""","111024, г.Москва, ул. Авиамоторная, д. 55, к. 31, эт 3 оф 3260",г. Москва,г.Москва,Россия,,Автотранспорт,4100,52710981,7729392616,"Акционерное общество ""Торговый дом ""ТМК""",г. Екатеринбург,Россия,52710981,Техпромстрой,г. Москва,Центральный ФО,Россия,РФ,Инфраструктура,Металлоконструкции строительные,-,-,ТД ТМК,В31795,Техпромстрой,ТД ТМК,,,346.89,37,Гд Общ,Бш Пром/Seamless Ind
